angle,l,h,w,c1,c2,k1,k2,p,p^2
202.5384498,47,9,6,1,50,50,2500,0.4,0.16
131.6871729,99,11,10,4,40,120,1200,0.3,0.09
20.6374048,49,7,5,0.2,1,1,5,0.01,0.0001
4.6062975,49,7,5,10,10,400,400,0.2,0.04
54.4181049,41,9,6,10,10,400,400,1,1
215.5185147,41,10.5,7,1.1,55,55,2750,0.38,0.1444
18.5972578,41,10.5,7,1.1,55,60.5,3025,0.59,0.3481
193.439951,42,10.5,7,1.1,55,60.5,3025,0.51,0.2601
81.6296185,49.3,12.8,10.4,1.8,90,104.4,5220,0.41,0.1681
260.1217518,59.5,17.1,11.7,1.8,90,117,5850,0.69,0.4761
